	Part of Speech	main_word	main_word_id	main_word_GLOSS	2nd_word	2nd_word_id	2nd_word_GLOSS	3rd_word	3rd_word_id	3rd_word_GLOSS	ready?	who_collected	comment	lexeme_id	Gender	Attributive	Orthography	Lexical entry	No stress	Glossing label	comment_to_appear	meaning_1	meaning_1_rus	diathesis_1	example_1	example_1_cyr	example_1_rus	meaning_2	meaning_2_rus	diathesis_2	example_2	example_2_cyr	example_2_rus	meaning_3	meaning_3_rus	diathesis_3	example_3	example_3_cyr	example_3_rus	meaning_4	meaning_4_rus	diathesis_4	example_4	example_4_cyr	example_4_rus	who_compiled	elicited_day	elicited_month	elicited_year	updated_day	updated_month	updated_year	filename	speaker_name	gender	year_of_birth	lexcauc_id	swadesh_id	j/h	PFV.3	IPFV.3	INF.3	IMP.3	PROH.3	HPL/APL	Co-verbal form	Adverbial form	Lexical Entry
6	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	aʁmiš		aʁmiš				1.0	TM		cv15			агъмиш выъыр		aʁmiš wɨʔɨr	aʁmiš do		recall, recollect	вспоминать	erg, abs	zad had edemi aʁmiš hɨʔɨr	зад гьад едеми агъмиш гьыъыр	Я про этого человека вспомнил																			TM	7.0	8	2023.0					Nurula														aʁmíš wɨʔɨr
4	verb										1.0	KF		v8			агъовгъур	aʁówʁur	aʁowʁur	PV-cut_through		cut out (round pieces of dough, smth out of paper)	вырезать (круглые кусочки теста, что-то из бумаги)		rɨšera gɨrc aʁaʁura ; kʼazita naqʼɨš jɨˤχɨr kʼɨčʼitakʷan aʁaʁur	рышера гырц агъагъура ; кӀазита накьыш йыӀхыр кӀычӀитакван агъагъур	Девочка кюрзе вырезала ; На бумаге нарисовав узор, вырезал ножницами	pierce, cut through	протыкать, прорезать		banka aʁaʁur, kampot hɨʔɨr	банка агъагъур, кампот гьыъыр	Дырку в банке (в крышке) сделав, компот налила	break eggs	разбивать яйца		ʁɨlɨʁmar aʁaʁʷa!	гъылыгъмар агъагъва!	Яйца разбей (в яичницу)!	swear, use derrogatory terms	ругаться похабно, материться		edemijera aʁabʁura	едемийера агъабгъура	Мужчина обзывается, матюгается									Назиле						aʁówʁur	aʁábʁura	aʁówʁus	aʁówʁʷa	aʁmábʁ	*			
3	noun										1.0	KF		n4	1	aʁsaqálad	агъсахъал	aʁsaqál	aʁsaqal	aksakal		aksakal	аксакал		aʁsaqalar sɨtʼqʼɨra gima	агъсахъалар сытӀкьыра гима	Аксакалы сидят на годекане																			KF	6.0	8	2023.0					Назиле	f													
4	noun										1.0	KF		n5	4	aʁɨ́lad	агъыл	aʁɨ́l	aʁɨl	corral		corral	загон		zad dawarar aʁɨla aqɨʔɨr	зад даварар агъыла ахъыъыр	Я перегнал корову в загон																			KF	6.0	8	2023.0					Назиле	f		137											
5	noun										1.0	KF		n6	4	adatad	адат	adát	adat	custom		custom	обычай		adatdikʷan wɨɣɨnnowa salam hɨwɨr hɨgɨtʼi	адатдикван выгӀыннова салам гьывыр гьыгытӀи	По обычаю мужчина должен дать салам																			KF	6.0	8	2023.0					Назиле	f													
6	noun										1.0	KF	простокваша, творог - азукӀвайед нисебыр	n7	3	azúkʼʷajed	азукӀвай	azúkʼʷaj	azukʼʷaj	curdled_milk		curdled milk, sour milk	простокваша		azukʼʷaj dɨqʼɨˤle wišira	азукӀвай дыкьыӀле вишира	Простокваша стала горькой																			KF	6.0	8	2023.0					Назиле	f													
0	adjective										1.0	AA		a2			айбаджарды	ajbaǯárdɨ	ajbaǯardɨ	unattractive		unattractive, unpleasant	некрасивый, неприятный		ajbaǯarwal šiwi! ; miʔa qʼuǯdɨ ajbaǯardɨ il ruʔura	айбаджарвал шиви! ; миъа кьуджды айбаджарды ил руъура	Какой ты некрасивый! ; Неприятный запах идет																											Nurula												ajbaǯar	ajbaǯarana	
7	noun										1.0	KF		n8	3	ajʁɨ́rad	айгъыр	ajʁɨ́r	ajʁɨr	stallion		stallion	жеребец		zɨ ajʁɨra uː lʲučuraj	зы айгъыра уу лючурай	Я сел на жеребца																			KF	6.0	8	2023.0					Назиле	f		162											
8	noun										1.0	KF		n9	4	alwerad	алвер	alwér	alwer	trade		trade, barter	торговля, обмен		alwerakʲla χɐjir kine jiʔi	алверакʼла ха̂йир кине йиъи	От торговли бывает выгода																			KF	6.0	8	2023.0					Назиле	f		829											
9	noun										1.0	KF		n10	NO DATA	alláhad	аллагь	alláh	allah	Allah		Allah	Аллах		allahara hɨχʷaldɨ waʔara hɨχdɨ insanas ; allahad kumag	аллагьара гьыхвалды ваъара гьыхды инсанас ; аллагьад кумаг	Аллах даёт милость хорошему человеку ; Божья милость																			KF	6.0	8	2023.0					Назиле	f													
1	adjective										1.0	AA	устаревшее слово, скорее говорят кӀыъды	a3			алчахды	alčáχdɨ	alčaχdɨ	low		low (house, tree)	низкий (дом, дерево)		alčaχdɨ χuka suwqʼura šuruk	алчахды хука сувкьура шурук	На низком дереве сидит птица	bad (about person)	плохой (о человеке)		wɨ alčaχdɨ edemi jiʔi	вы алчахды едеми йиъи	Ты нехороший человек																					Khanum												alčaχ	alčaχana	
7	complex verb	hɨwɨ́r	v39	give	aman		aman				1.0	TM	только при отрицании говорят	cv9			аман гьывыр		aman hɨwɨr	aman give		have mercy, spare	щадить, не уничтожать	erg, dat	zad iskʼama ʁad ilesdis aman hɨwɨrdiš, sin liʔir ; jed ʁɨˤrčmašis aman hɨwɨrdiš, sijenabɨr jɨˤlχɨr	зад искӀама гъад илесдис аман гьывырдиш, син лиъир ; йед гъыӀрчмашис аман гьывырдиш, сийенабыр йыӀлхыр	Я еду на столе уничтожил, всё съел ; Мы на охоте никого (из зверей) не пощадили, всех застрелили																			TM	13.0	8	2023.0					Nazile														amán hɨwɨr
5	verb										1.0	KF		v6			апхъуӀр	ápquˤr	apquˤr	PV-dig		dig	копать, выкопать яму		har jiʁa hanow awraˤqwara ɢuj	гьар йигъа гьанов авраӀхъвара къуй	Каждый день он копает яму																											Назиле						ápquˤr	awráqʷaˤra	ápqʷaˤs	aˤpqʷa	amáˤwruqʷ	*			
6	verb										1.0	KF		v1			апцур	ápcur	apcur	measure		measure, weigh	измерить, взвесить		zad χuˤr apcur terezugakan / ɨˤbrɨjekʷan ; zad acʼujne χuˤlʲaχʷaldɨ — xibɨd metri jišir	зад хуӀр апцур терезугакан / ыӀбрыйекван ; зад ацӀуйне хуӀляхвалды — хьибыд метри йишир	Я взвесил муку весами / меркой ; Я измерил длину — было три метра																											Назиле						ápcur	awrácura	apcus	apca	amawruc	NO			
13	noun										1.0	KF	фаринг есть	n14	4	aˤrijid	ара ~ аӀра	ará ~ aˤrá	ara ~ aˤra	distance		distance	промежуток, дистанция		qʼuˤndɨ χaldɨ jɨˤqʼa peʔdɨ aˤra ani jiʔi ; qʼuˤndɨ χaldɨ aˤrijid, izdɨ qʼɨq aqɨwgɨr qʼuˤndɨ χaldɨ aˤrijida	кьуӀнды халды йыӀкьа пеъды аӀра ани йиъи ; кьуӀнды халды аӀрийид, изды кьыхъ ахъывгыр кьуӀнды халды аӀрийида	Расстояние между домами маленькое ; Своего телёнка нашла в промежутке между домами																			KF	6.0	8	2023.0					Назиле	f													
8	complex verb	jíˤwχɨˤr	v52	hit	ará ~ aˤrá	n14	distance				1.0	TM		cv10			ара йиӀвхыӀр		ara jiˤwχɨˤr	distance hit		mix (intr), collide	смешиваться, сталкиваться	abs	mašinbɨr ara jiˤlχɨra ; qʼʷaˤd čabɨlešdɨ süri ara jiˤlχɨraj	машинбыр ара йиӀлхыра ; кьваӀд чабылешды суьри ара йиӀлхырай	Машины столкнулись ; Две отары баранов смешались	fight	драться	abs	qʼʷaˤb zer ara jiˤwχɨraj	кьваӀб зер ара йиӀвхырай	Две коровы подрались													TM	10.0	8	2023.0					Aga														ara jiˤwχɨˤr
9	complex verb	kʲawɨr		SURF-do	ará ~ aˤrá	n14	distance					TM		cv11			ара кʼавыр		ara kʲawɨr	distance SURF-do		add, mix	добавлять, смешивать	erg, abs, sub-ess	zad kʼartʼuškʼabɨr rɨqʼɨkʲ ara kʲaʔasɨ	зад кӀартӀушкӀабыр рыкьыкʼ ара кʼаъасы	Я в суп добавлю картошку																			TM	16.0	8	2023.0					Nazile														ara kʲawɨr
10	complex verb	giwir		UNDER-let	ará ~ aˤrá	n14	distance	saʔ		down-LAT		TM		cv12			ара саъ гийир		ara saʔ gijir	distance down-LAT UNDER-let		swallow (v)	глотать	erg, abs	χɨnχɨra šagar ara saʔ gijir	хынхыра шагар ара саъ гийир	Мальчик сахар проглотил																			TM	10.0	8	2023.0					Aga														ara saʔ gijir
11	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	aramiš		aramiš				1.0	TM	aˤramiš / arʲamiš ; у Нуруллы просто /а/ ; со стать нет	cv13			арамиш выъыр		aramiš wɨʔɨr	aramiš do		search	искать	erg, abs	χɨnimeše sürgüd jacmar aramiš haʔara / qaʔara	хынимеше суьргуьд йацмар арамиш гьаъара / хъаъара	Дети ищут потерянных быков																			TM	7.0	8	2023.0					Nurula														arámiš wɨʔɨr
12	complex verb	lawɨr	v81	UP-do	arpʼ		arpʼ				1.0	TM		cv16			арпӀ лавыр		arpʼ lawɨr	arpʼ UP-do		belch	отрыгивать	erg	mihmanara čej raˤʁɨr, arpʼ lawɨr ; gitɨrɨra jak liʔir, arpʼ lawɨr	мигьманара чей раӀгъыр, арпӀ лавыр ; гитырыра йак лиъир, арпӀ лавыр	Гость чай попил и рыгнул ; Кошка мясо поела и отрыгнула																			TM	10.0	8	2023.0					Aga														arpʼ lawɨr
10	noun										1.0	KF		n11	3	aχbazánad	ахбазан	aχbazán	aχbazan	apricot		apricot	абрикос		ixdɨ aχbazanad jikʼ iddɨ jiʔi	ихьды ахбазанад йикӀ идды йиъи	Косточки нашего абрикоса сладкие																			KF	6.0	8	2023.0					Назиле	f		661											
13	complex verb	wišír	v202	become	ačɨ́χdɨ	a1	open.adj				1.0	TM		cv5			ачых вишир		ačɨχ wišir	open.adj become		open (intr), untie (intr)	открываться, развязываться	abs	ʁul ačɨχ wišir ; tɨlajed zinǯir ačɨχ wišir	гъул ачых вишир ; тылайед зинджир ачых вишир	Окно открылось ; У собаки цепочка развязалась	waken (from sleep)	пробуждаться (ото сна)	abs	zɨ neqʼʲaː ačɨχ hišir	зы некьʼаа ачых гьишир	Я ото сна пробудился	appear, emanate	появляться, исходить откуда-либо	abs	χaˤlʲa jakʷ ačɨχ hišir	хаӀлʼа йакв ачых гьишир	С неба свет появился							TM	10.0	8	2023.0					Aga														ačɨχ wišir
14	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	ačɨ́χdɨ	a1	open.adj				1.0	TM		cv6			ачых выъыр		ačɨχ wɨʔɨr	open.adj do		untie (knot, rope)	развязывать (узел, веревку)	erg, abs	zad rak ačɨχ hɨʔɨr ; jütʼel zad ačɨχ hɨʔɨr	зад рак ачых гьыъыр ; йуьтӀел зад ачых гьыъыр	Я дверь открыл ; Я узел развязал	wake (from sleep)	будить	erg, abs	zad rɨš neqʼʲaː acɨχ harɨr	зад рыш некьʼаа ацых гьарыр	Я девочку разбудил													TM	10.0	8	2023.0					Aga														ačɨχ wɨʔɨr
2	adjective										1.0	AA	ačɨχ-dɨ haraj громкий крик	a1			ачыхды	ačɨ́χdɨ	ačɨχdɨ	open.adj		open	открытый		χal ačɨχ jiʔi ; χal ačɨχ hɨʔɨr ; ačɨχdɨ ʁul	хал ачых йиъи ; хал ачых гьыъыр ; ачыхды гъул	Дом открыт ; Дом открыли ; Открытое окно	bright (colour)	светлый (в названиях цветов)		χalɨs jɨˤrχɨra ačɨχdɨ šildɨ šʲir	халыс йыӀрхыра ачыхды шилды шʼир	Дом покрасили светло-зеленой краской																					Nazile												ačɨχ	ačɨχana	
7	verb										1.0	KF		v5			ачӀипхъыр	áčʼipqɨr	ačʼipqɨr	PV-stuck		be stuck	застревать		kʷam isaldɨ wiʔij zɨ ačʼirqɨraj	квам  исалды виъий зы ачӀирхъырай	Проход был очень узкий, я застрял																											Назиле						áčʼipqɨr	ačʼwílqara	ačʼipqas	ačʼipqa	ačʼmewliq	NO			
8	verb										1.0	KF		v4			ачӀипхьыр	áčʼipxɨr	ačʼipxɨr	PV-squeeze_in		get into, squeeze in	влезать, просовываться, протиснуться		edemi kʷamɨra ačʼirxɨra	едеми квамыра ачӀирхьыра	Человек залез в дыру																											Назиле						áčʼipxɨr	ačʼwílxara	ačʼipxas	ačʼipxa	ačʼmelwix	NO			
15	complex verb	wišír	v202	become	aˤhtijet		aˤhtijet				1.0	TM	šihibɨrmɨd / šihibɨrmɨχda qʼejmat adiš - у денег цены нет	cv7			аӀгьтийет вишир		aˤhtijet wišir	aˤhtijet become		be kept, be preserved	храниться	abs	zaχda χala šihibɨrmɨd aˤhtijet wišir	захда хала шигьибырмыд аӀгьтийет вишир	У меня дома сохранялись деньги																			TM	10.0	8	2023.0					Aga														aˤhtíjet wišir
16	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	aˤhtijet		aˤhtijet				1.0	TM		cv8			аӀгьтийет выъыр		aˤhtijet wɨʔɨr	aˤhtijet do		keep, preserve	сторожить, охранять	erg, abs	zad telefon aˤhtijet hɨʔɨr, wiǯ waχɨr ; zad zer aˤhtijed hawɨr sirdaː, wiǯ ubleše lewir	зад телефон аӀгьтийет гьыъыр, видж вахыр ; зад зер аӀгьтийед гьавыр сирдаа, видж ублеше левир	Я телефон сторожил, но он разбился ; Я сторожил корову от медведя, а ее волки съели																			TM	10.0	8	2023.0					Aga														aˤhtíjet wɨʔɨr
3	adjective										1.0	AA	только про одушевленных можно так сказать	a5			аӀджизды	aˤǯízdɨ	aˤǯizdɨ	slim		thin	тонкий, худой (о человеке)		aˤǯiznow ~ aˤǯiznowa lʲajχɨˤr baʁ	аӀджизнов ~ аӀджизнова лʼайхыӀр багъ	Худой (человек) вскопал сад																											Khanum												aˤǯiz	aˤǯizana	
12	noun										1.0	KF		n13	3	aˤjníjed	аӀйна	aˤjná	aˤjna	glass		glass	стекло		aˤjniji juχ ʁani wiʔi	аӀйнийи йух гъани виъи	На стекле грязь																			KF	6.0	8	2023.0					Назиле	f		744											
4	noun, adjective										1.0	TM		a110			аӀкьаллы(д)	aˤqʼallɨ́(d)	aˤqʼallɨ(d)	clever		clever	умный		aˤqʼallɨ xɨdɨldɨ ; wad had aˤqʼallɨna hɨʔɨr ; aˤqʼallɨjera haasa huxusdiš	аӀкьаллы хьыдылды ; вад гьад аӀкьаллына гьыъыр ; аӀкьаллыйера гьааса гьухьусдиш	Умная женщина ; Ты это умно сделал ; Умный так не скажет																			TM	15.0	8.0	2023.0					Nazile												aˤqʼallɨ	aˤqʼallɨna	
5	noun, adjective										1.0	TM		a111			аӀкьалсыз(ды)	aˤqʼalsɨ́z(dɨ)	aˤqʼalsɨz(dɨ)	stupid		silly	глупый		aˤqʼalsɨz(dɨ) edemi ; wad had aˤqʼalsɨzna hɨʔɨr ; aˤqʼallɨ aqʼalsɨzakʷan halgara	аӀкьалсыз(ды) едеми ; вад гьад аӀкьалсызна гьыъыр ; аӀкьаллы акьалсызакван гьалгара	Глупый человек ; Ты это глупо сделал ; Умный с глупым раговаривает																			TM	15.0	8.0	2023.0					Nazile												NO DATA	aˤqʼalsɨzna	
6	adjective										1.0	AA		a4			аӀкьурды	áˤqʼurdɨ	aˤqʼurdɨ	wide		wide (road, passage)	широкий (платок, дорога, проход)		izdɨ uχun aˤqʼurdɨ wiʔi ; ʁilabɨr aˤqʼurana six	изды ухун аӀкьурды виъи ; гъилабыр аӀкьурана сихь	Мое платье широкое ; Широко ноги поставь																											Khanum												aˤqʼura	aˤqʼurana	
14	noun										1.0	KF		n15	3	áˤrabad	аӀраб	áˤrab	aˤrab	sickle		sickle	серп		zad aˤrabakʷan qʼir sewiraj	зад аӀрабакван кьир севирай	Я сжала пшеницу серпом																			KF	6.0	8	2023.0					Назиле	f		619											
11	noun										1.0	KF	йихӀера - возят	n12	4	aˤräbijed	аӀраьби	áˤräbi	aˤräbi	carriage		carriage	арба		aˤrabijekʷan čʼɨˤχ saʔara	аӀрабийекван чӀыӀх саъара	На повозке таскают мусор																			KF	6.0	8	2023.0					Назиле	f		794											
15	noun										1.0	KF		n16	3	aˤqáˤd	аӀхъ	aˤq	aˤq	shadow		shadow	тень		ʁɨˤnne aˤqnada serin jiʔi	гъыӀнне аӀхънада серин йиъи	Летом в тени прохладно																			KF	6.0	8	2023.0					Назиле	f		34											
17	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	aˤʔ		aˤʔ				1.0	TM		cv17			аӀъ выъыр		aˤʔ wɨʔɨr	aˤʔ do		shout	кричать	erg	tɨla kipxur χɨnχɨχda, χɨnχɨra aˤʔ hawɨr	тыла кипхьур хынхыхда, хынхыра аӀъ гьавыр	Собака погналась за мальчиком, а он заорал																			TM	10.0	8	2023.0					Aga														aˤʔ wɨʔɨr
39	noun										1.0	KF		n38	1	bɐbɐdíddɨ	ба̂ба̂дид	bɐbɐdíd	bɐbɐdid	grandfather		grandfather	дедушка		izdɨ bɐbɐdid qirqʼɨra daˤʔwijaːla	изды ба̂ба̂дид хъиркьыра даӀъвийаːла	Мой дедушка вернулся с войны																			KF	6.0	8	2023.0					Назиле	f		86											
16	noun										1.0	KF		n17	1	babád	баба	babá	baba	elder_relative		elder_relative	старший родственник		babara χal hɨʔɨra	бабара хал гьыъыра	Дядя построил дом																			KF	6.0	8	2023.0					Назиле	f													
17	noun										1.0	KF		n18	2	bábajdɨ	бабай	bábaj	babaj	grandmother		grandmother	бабушка		ixdɨ babaj ješemiš rišir wešna rixdɨ sɨda	ихьды бабай йешемиш ришир вешна рихьды сыда	Наша бабушка прожила сто шесть лет																			KF	6.0	8	2023.0					Назиле	f		88											
18	noun										1.0	KF		n19	4	baʁdid	багъ	baʁ	baʁ	garden		garden, vegetable garden	огород, сад		izdɨ baʁde mašmašbɨr ʁa	изды багъде машмашбыр гъа	В саду растут абрикосы																			KF	6.0	8	2023.0					Назиле	f		601											
7	adjective										1.0	AA		a6			багьад	bahád	bahad	expensive		expensive	дорогой		qʼɨle waʔas uniwersiteda baha wiʔi ~ jiʔi ; zas mi χajma bahana eʁepxur	кьыле ваъас университеда багьа виъи ~ йиъи ; зас ми хайма багьана егъепхьур	Учиться в университете — дорого ; Этот ковер мне дорого обошелся																											Khanum												baha	bahana	
19	noun										1.0	KF		n20	NO DATA	baχnijid	багьна	bahna	bahna	reason		reason	причина, повод		bahna wiširaj iles-raˤʁas	багьна виширай илес-раӀгъас	Есть повод попить-поесть																			KF	8.0	8	2023.0					Нурулла	m													
20	noun										1.0	KF		n21	3	badújed	баду	badú	badu	trousers		trousers	штаны		baduja bara lipxura ~ baduja kʷam lipxura	бадуйа бара липхьура ~ бадуйа квам липхьура	На штанах появилась дыра																			KF	6.0	8	2023.0					Назиле	f		528											
21	noun										1.0	KF	маӀкьакьал - маленький, пока не присосался, бакьакьай - надутый кровью	n22	3	baqʼáqʼajed	бакьакьай	baqʼáqʼaj	baqʼaqʼaj	tick		tick (inflated with blood)	клещ (надутый кровью)		izdɨ čʼabɐlekʲla baqʼaqʼaj kʲuʁupqʼur	изды чӀаба̂лекʼла бакьакьай кюгъупкьур	Я выдернул у своей овцы клеща																			KF	6.0	8	2023.0					Назиле	f													
8	adjective										1.0	AA		a7			балад	balád	balad	much.adj		much	много		ɢarijera χulkara wɨɣlida, balana lešurama χɨˤrbɨr	къарийера хулкара выгӀлида, балана лешурама хыӀрбыр	Жена спрашивает мужа, много ли ты купил груш																											Nazile												bala	balana	
22	noun										1.0	KF		n23	4	baltɐ́jid	балта	baltá	balta	axe		axe	топор		izdɨ baltɐjid ǯibɨr qʼat jišira	изды балта̂йид джибыр кьат йишира	Ручка моего топора сломалась																			KF	6.0	8	2023.0					Назиле	f		697											
23	noun										1.0	KF		n24	3	balʁúd	балугъ	balúʁ	baluʁ	fish		fish	рыба		balʁʷa muˤluˤqmar elʲgir	балгъва муӀлуӀхъмар элʼгир	В рыбе нашли червей																			KF	6.0	8	2023.0					Назиле	f		202											
24	noun										1.0	KF		n25	3	banád	бан	ban	ban	pasture		pasture	пастбище		banɨmɨ hɨxar a čʼabɐ́ler	банымы гьыхьар а чӀаба̂́лер	На пастбище пасутся овцы																			KF	6.0	8	2023.0					Назиле	f													
25	noun										1.0	AA		n26	3	bardid	бар	bar	bar	burden2		burden	ноша		jimelʲa bar liwxira ; bardik čʼil kiptʼa waʔ ; hejwánad bar	йимелʼа бар ливхьира ; бардик чӀил киптӀа ваъ ; hejwánad bar	На осла ношу поставили ; К ноше привяжи веревку ; Вьюк																				13.0	8	2023.0					Лейла														
9	adjective										1.0	AA		a8			барды	bardɨ	bardɨ	blunt		blunt (knife, needle)	тупой (нож, игла)		lɨmaqʼ qʼataʔas bardɨ kantʼɨkʷan	лымакь кьатаъас барды кантӀыкван	Не пытайся резать тупым ножом																											Nazile												bara	barana	
26	noun										1.0	KF		n27	3	barmakad	бармак	barmák	barmak	headdress		headdress	шапка		barmak jisɨrɨra lewira	бармак йисырыра левира	Шапку съела моль																			KF	6.0	8	2023.0					Назиле	f		533											
10	adjective										1.0	AA	можно бытӀрыд, а не бытӀрад вроде	a9			батӀрад ~ бытӀрад	batʼrad ~ bɨtʼrad	batʼrad ~ bɨtʼrad	beautiful1		beautiful	красивый		zaχda ani i bɨtʼrɨd baʁ ; tinowdɨ bɨtʼrɨwal haraja	захда ани и бытӀрыд багъ ; тиновды бытӀрывал гьарайа	У меня красивый огород ; Смотри какая красивая идет																											Said												batʼrana	batʼrana	
18	complex verb	wišír	v202	become	baše		baše				1.0	TM	*zɨ mɨˤχa baše ruʔura	cv18			баше вишир		baše wišir	baše become		make a living	жить своим трудом, содержать себя	abs	zɨ izdɨ χala kasibwalikan baše ruʔura	зы изды хала касибваликан баше руъура	Я в своем доме независимо от кого-либо проживаю, своим трудом																			TM	10.0	8	2023.0					Aga														bašé wišir
19	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	baše		baše				1.0	TM	*zɨ mɨˤχa baše ruʔura	cv19			баше выъыр		baše wɨʔɨr	baše do		keep, support someone	обеспечивать кого-либо	erg, abs	dide-nine χɨnɨχ baše haʔara	диде-нине хыных баше гьаъара	Родители сына обеспечивают																			TM	10.0	8	2023.0					Aga														bašé wɨʔɨr
